Order,Family,Genus,Species,genspec,ActivityCycle,Mass.g,Forearm.mm,BodyLen.mm,AgeatFirstBirth,BasalMetRate.mL02hr,BasalMetRateMass.g,DietBreadth,DispersalAge,GestationLen,HabitatBreadth,MaxLongevity.m,SexualMaturityAge.d,TeatNumber,Terrestriality,TrophicLevel,References,Mass.g.EXT,Area.km2,MaxLat.dd,MinLat.dd,MRLat.dd,MaxLong.dd,MinLong.dd,MRLong.dd,PrecipMean.mm,TempMean.C,AETMean.mm,PETMean.mm
Artiodactyla,Bovidae,Capra,sibirica,Capra_sibirica,NA,130000,NA,NA,NA,NA,NA,NA,NA,175,NA,267,NA,NA,NA,NA,543;1068;1525;2655,NA,2802214,55.63,31.43,43.53,106.03,61.59,83.81,20.81,-12.88,271.47,677.11
Artiodactyla,Bovidae,Capra,walie,Capra_walie,NA,99400,NA,NA,NA,NA,NA,NA,NA,157.49,1,NA,NA,NA,1,NA,511;730;899;2555;2655,NA,4295,13.63,13.07,13.35,38.75,37.94,38.34,81.2,206.38,764.2,1590.35
Artiodactyla,Cervidae,Capreolus,capreolus,Capreolus_capreolus,2,22400,NA,NA,730,78470,190000,NA,NA,161.53,1,204,391.76,NA,1,NA,543;653;730;733;1297;1573;1577;1822;2286;2338;2525;2579;2620;2655;2986;3009;3010,NA,6777178,67.62,34.89,51.25,54.05,-8.46,22.79,55.04,73.59,450.28,610.1
Artiodactyla,Cervidae,Capreolus,pygargus,Capreolus_pygargus,2,41000,NA,1319.99,NA,NA,NA,NA,NA,290,1,NA,769.84,NA,1,NA,733;3010,NA,9816966,62.64,31.25,46.94,139.56,41.85,90.7,32.33,-14.85,367.7,511.78
Lagomorpha,Leporidae,Caprolagus,hispidus,Caprolagus_hispidus,1,2500,NA,460.23,NA,NA,NA,3,NA,39.99,2,NA,NA,NA,1,1,95;511;899;1106;1297;2655,NA,44515,29.25,26.07,27.66,92.77,80,86.39,128.92,236.21,939.6,1234.6
Rodentia,Capromyidae,Capromys,pilorides,Capromys_pilorides,NA,5200,NA,NA,NA,604.9,2630,3,NA,125,1,136,274.16,4,2,2,543;1297;1627;1822;2151;2655,NA,109411,23.19,19.82,21.51,-74.13,-84.95,-79.54,103.29,252.28,1271,1782.03
Carnivora,Felidae,Caracal,caracal,Caracal_caracal,1,12000,NA,743.52,456.25,NA,NA,1,364.99,71.47,1,204,384.59,NA,1,3,543;679;1113;1297;1573;2655,NA,26609097,45.85,-34.83,5.5,81.04,-17.53,31.75,40.03,221.57,455.81,1387.61
Rodentia,Dipodidae,Cardiocranius,paradoxus,Cardiocranius_paradoxus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,8,1,NA,2151,NA,1329094,51.32,38.8,45.06,119.2,75.14,97.17,16.47,14.96,206.59,577.3
Chiroptera,Megadermatidae,Cardioderma,cor,Cardioderma_cor,NA,26.2,54,NA,NA,NA,NA,2,NA,92.66,1,NA,NA,NA,2,3,196;707;1297;1388;1658;1957;2144;2151;2655;2719;3023,NA,2892360,18,-10.53,3.73,51.41,31.39,41.4,55.07,232.39,704.56,1613.35
Chiroptera,Phyllostomidae,Carollia,brevicauda,Carollia_brevicauda,NA,14.7,40.24,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,1,889;985;1297;1309;1658;2143;2151;2622;2655,NA,11615943,23.25,-23.05,0.09,-34.79,-100.12,-67.45,155.22,240.49,1310.39,1560.88
Chiroptera,Phyllostomidae,Carollia,castanea,Carollia_castanea,NA,13.1,36.18,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,1,196;889;985;1297;1658;2151;2655;2719,NA,4881459,16.02,-18.71,-1.34,-51.64,-88.14,-69.89,171.15,236.15,1395.44,1587.12
Chiroptera,Phyllostomidae,Carollia,perspicillata,Carollia_perspicillata,1,19.1,42.5,60,410.62,31.43,14.9,3,NA,114.89,1,148.8,258.54,NA,2,2,108;137;185;196;536;543;651;690;889;892;984;985;1297;1309;1388;1658;1705;1741;1822;1948;2143;2151;2295;2315;2316;2383;2655;2708;2719;27513023;3035;3037;3038,NA,14098731,21.62,-29.91,-4.14,-34.79,-98.21,-66.5,149.5,236.85,1288.14,1519.79
Chiroptera,Phyllostomidae,Carollia,subrufa,Carollia_subrufa,NA,15.7,38.95,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,1,889;984;985;1297;1325;1658;2151;2655,NA,330695,18.12,4.56,11.34,-57.15,-94.01,-75.58,143.06,232.26,1398.75,1697.37
Rodentia,Muridae,Carpomys,melanurus,Carpomys_melanurus,NA,NA,NA,199.99,NA,NA,NA,3,NA,NA,1,NA,NA,NA,2,2,1297;2151;2152,223,404,16.96,16.75,16.86,120.97,120.76,120.86,316,180,1443,1557
Rodentia,Muridae,Carpomys,phaeurus,Carpomys_phaeurus,NA,NA,NA,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2152,179,230,16.91,16.76,16.83,120.99,120.82,120.9,316,180,1443,1557
Rodentia,Echimyidae,Carterodon,sulcidens,Carterodon_sulcidens,NA,114,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,890;2655,NA,456432,-12.64,-21.02,-16.83,-41.44,-48.22,-44.83,114.85,210.78,1069.7,1408.89
Chiroptera,Pteropodidae,Casinycteris,argynnis,Casinycteris_argynnis,NA,28.2,56,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,1,196;271;360;1297;1601;1631;1658;2151;2295;2622;2655;2719,NA,1040596,3.82,-7.09,-1.63,28.42,11.01,19.72,149.06,244.46,1470.12,1586.1
Rodentia,Castoridae,Castor,canadensis,Castor_canadensis,2,18100,NA,759.07,NA,NA,NA,3,714.87,111.87,3,180,586.19,4,1,1,457;514;543;1297;1482;1573;1577;1849;2190;2338;2514;2588;2620;2655;2863,NA,15377760,69.71,25.44,47.57,-55.61,-166.19,-110.9,52.36,39.86,465.52,632.25
Rodentia,Castoridae,Castor,fiber,Castor_fiber,NA,19000,NA,NA,912.5,NA,NA,1,NA,106.57,NA,300,915.61,NA,NA,1,543;1047;1297;1849;2655;3141;3142,NA,2929214,70.96,43.33,57.14,109.21,4.01,56.61,45.01,23.3,368.57,382.36
Artiodactyla,Tayassuidae,Catagonus,wagneri,Catagonus_wagneri,3,35200,140.6,1031.82,730,NA,NA,6,NA,152.08,1,108,773.65,8,1,2,511;543;645;899;1297;1573;1848;1907;2151;2180;2655;2686;2998,NA,329881,-19.59,-26.58,-23.08,-58.41,-64.64,-61.53,62.93,221.21,843.76,1163.15
Carnivora,Felidae,Catopuma,badia,Catopuma_badia,NA,3430,NA,551.55,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1113;2655,NA,261512,6.54,-0.86,2.84,118.13,112.02,115.07,278.55,227.89,1686.79,1711.63
Carnivora,Felidae,Catopuma,temminckii,Catopuma_temminckii,NA,7740,NA,892.44,NA,NA,NA,1,NA,99.32,1,216,NA,NA,1,3,1113;1297;2655,NA,3437287,29.71,-5.94,11.88,120.98,87.31,104.15,156.56,197.24,1175.95,1416.65
Rodentia,Caviidae,Cavia,aperea,Cavia_aperea,2,524,NA,NA,NA,NA,NA,1,NA,61.87,2,NA,57.08,2,1,1,730;890;1297;1849;2151;2456;2479;2655;2869,NA,6171300,10.58,-39.01,-14.21,-35.63,-79.01,-57.32,110.01,199.61,1080.55,1355.27
Rodentia,Caviidae,Cavia,fulgida,Cavia_fulgida,NA,283,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,NA,2151;2655,NA,293803,-12.32,-24.22,-18.27,-38.12,-46.85,-42.48,125.59,210.43,1271.41,1476.92
Rodentia,Caviidae,Cavia,magna,Cavia_magna,NA,460,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,NA,2151;2655,NA,178491,-25.86,-34.97,-30.42,-48.47,-55.45,-51.96,119.18,166.22,1050.43,1211.45
Rodentia,Caviidae,Cavia,porcellus,Cavia_porcellus,NA,728,NA,NA,NA,NA,NA,NA,NA,67,1,177.6,59.06,2,1,NA,543;1297;1577;1691;1692;2151;2655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Caviidae,Cavia,tschudii,Cavia_tschudii,NA,1000,NA,NA,NA,NA,NA,NA,NA,63,2,NA,NA,2,1,NA,890;2151;2655,NA,1337430,-6.33,-27.68,-17,-57.64,-80.05,-68.85,91.24,163.41,973.18,1404.93
Primates,Cebidae,Cebus,albifrons,Cebus_albifrons,3,2520,NA,384.87,1467.3,NA,NA,5,NA,158.49,2,528,1313.76,NA,2,2,208;543;730;890;1017;1297;1544;1547;1611;1763;1768;1848;2151;2251;2344;2463;2489;2493;2511;2655;2660;2986,NA,3105886,11.56,-13.21,-0.82,-55.24,-81,-68.12,192.99,252.69,1466.66,1559.7
Primates,Cebidae,Cebus,apella,Cebus_apella,3,2760,NA,434.99,2058.6,NA,NA,6,NA,154.99,2,541.2,1642.49,NA,2,2,208;543;730;790;890;1015;1017;1132;1201;1297;1544;1547;1763;1767;1848;2151;2251;2308;2344;2463;2489;2493;2655;2660;2986,NA,10830499,7.12,-29.8,-11.34,-34.79,-78.14,-56.46,153.99,240.85,1290.6,1515.06
Primates,Cebidae,Cebus,capucinus,Cebus_capucinus,3,3010,NA,378.4,1460,NA,NA,4,NA,161.12,2,657.6,1902.38,NA,2,2,208;543;730;890;1017;1052;1297;1544;1547;1767;1848;2151;2344;2463;2489;2493;2655;2660;2986,NA,431038,16.02,1.46,8.74,-74.85,-88.77,-81.81,216.57,240.5,1382.23,1666.97
Primates,Cebidae,Cebus,olivaceus,Cebus_olivaceus,3,2800,NA,404.72,2190,NA,NA,4,NA,NA,2,492,2190,NA,2,2,543;730;905;1017;1201;1544;1547;1848;2151;2308;2344;2463;2493;2655;2660;2986,NA,1484240,11.37,-1.8,4.78,-49.88,-70.6,-60.24,155.52,248.83,1476.63,1703.14
Rodentia,Muridae,Celaenomys,silaceus,Celaenomys_silaceus,NA,NA,NA,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2152,208,749,17.06,16.67,16.87,121,120.79,120.9,276.36,203.99,1422.34,1557
Chiroptera,Emballonuridae,Centronycteris,maximiliani,Centronycteris_maximiliani,1,23,45.49,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,3,889;890;905;1297;1658;2151;2622,NA,7052361,19.36,-20.3,-0.47,-34.79,-96.4,-65.59,161.29,247.21,1356.19,1592.14
Chiroptera,Phyllostomidae,Centurio,senex,Centurio_senex,NA,22.9,44,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,1,889;1297;1658;2143;2151;2622;2655;3023,NA,2107463,26.26,5.05,15.65,-60.78,-108.71,-84.74,126.65,232.97,1224.39,1627.36
Artiodactyla,Bovidae,Cephalophus,adersi,Cephalophus_adersi,NA,9250,NA,690,NA,NA,NA,4,NA,120,1,48.96,NA,4,1,1,511;869;899;1525;1848;2655;2693;3046,NA,3824,-3.09,-6.47,-4.78,40.13,39.18,39.65,71.5,256.5,1011.99,1963.94
Artiodactyla,Bovidae,Cephalophus,callipygus,Cephalophus_callipygus,3,18800,NA,1016.16,NA,NA,NA,3,NA,NA,1,NA,NA,4,1,1,904;1525;1573;1848;2655;2693;3046,NA,788398,5.23,-6.05,-0.41,22.7,8.69,15.7,150.69,245.14,1312.4,1510.43
Artiodactyla,Bovidae,Cephalophus,dorsalis,Cephalophus_dorsalis,1,20000,NA,849.99,760.41,NA,NA,4,NA,238,1,204.96,465.58,4,1,2,904;1297;1525;1573;1848;2655;2693;3044;3046,NA,2874503,9.35,-7.06,1.14,30.66,-13.29,8.68,151.81,244.44,1371.07,1558.56
Artiodactyla,Bovidae,Cephalophus,harveyi,Cephalophus_harveyi,NA,14500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2655;2986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Artiodactyla,Bovidae,Cephalophus,jentinki,Cephalophus_jentinki,1,67500,NA,1350,NA,NA,NA,4,NA,NA,NA,210,NA,4,NA,1,899;1525;1848;2655;2693;3046,NA,130952,9.22,4.35,6.79,-4.91,-13.2,-9.05,210.72,251.5,1345.35,1553.43
Artiodactyla,Bovidae,Cephalophus,leucogaster,Cephalophus_leucogaster,3,13000,NA,940.19,NA,NA,NA,5,NA,NA,1,63.96,NA,4,1,2,904;1297;1525;1848;2655;2693;3046,NA,1396673,5.15,-6.05,-0.45,30.64,8.69,19.67,145.99,239.75,1385.58,1555.72
Artiodactyla,Bovidae,Cephalophus,maxwellii,Cephalophus_maxwellii,2,8440,NA,846.8,1095,NA,NA,7,NA,205,1,147,291.81,4,1,2,869;917;1297;1525;1848;2365;2655;2693;3046,NA,1214156,13.85,4.35,9.1,6.79,-16.82,-5.01,146.15,261.68,1134.69,1563.7
Artiodactyla,Bovidae,Cephalophus,monticola,Cephalophus_monticola,3,4860,NA,693.13,577.91,1806,4200,3,NA,205,1,144,304.73,4,1,2,200;543;869;904;917;1297;1525;1822;1848;2655;2693;3046,NA,6552146,9.54,-34.44,-12.45,40.52,5.92,23.22,118.15,229.51,1145.04,1523.17
Artiodactyla,Bovidae,Cephalophus,natalensis,Cephalophus_natalensis,3,12000,NA,787.08,NA,NA,NA,4,NA,212.97,1,180,NA,4,1,1,730;869;1297;1525;1848;2629;2655;2693;3046,NA,1208751,-7.38,-31.13,-19.25,40.84,29.23,35.03,79.36,228.97,924.61,1494.49
Artiodactyla,Bovidae,Cephalophus,niger,Cephalophus_niger,NA,18900,NA,1043.73,NA,NA,NA,7,NA,126,1,122.04,NA,4,1,2,869;1297;1525;1848;2655;2693;3046,NA,726891,9.29,4.29,6.79,6.75,-13.29,-3.26,154.49,259.8,1256.5,1574.35
Artiodactyla,Bovidae,Cephalophus,nigrifrons,Cephalophus_nigrifrons,2,14200,NA,944.77,NA,NA,NA,4,NA,NA,1,236.4,NA,4,1,1,543;869;904;1525;1848;2655;2693;3046,NA,2766201,5.12,-9.85,-2.36,37.79,8.69,23.24,140.38,238.38,1348.71,1548.31
Artiodactyla,Bovidae,Cephalophus,ogilbyi,Cephalophus_ogilbyi,3,18200,NA,999.99,NA,NA,NA,NA,NA,121.66,NA,NA,NA,4,NA,NA,1297;1525;1848;2655;2693;3046,NA,587613,8.95,-3.46,2.74,12.62,-13.16,-0.26,186.69,253.38,1293.3,1552.63
Artiodactyla,Bovidae,Cephalophus,rubidus,Cephalophus_rubidus,NA,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Artiodactyla,Bovidae,Cephalophus,rufilatus,Cephalophus_rufilatus,3,12000,NA,649.99,794.63,NA,NA,5,NA,233.99,1,114,NA,4,1,2,730;869;1297;1525;1848;2655;2693;3046,NA,3098970,16.1,2.73,9.41,31.61,-17.53,7.03,108.89,259.92,973.28,1601.7
Artiodactyla,Bovidae,Cephalophus,silvicultor,Cephalophus_silvicultor,2,61300,NA,1324.76,NA,NA,NA,5,NA,234.43,1,207.96,NA,4,1,2,511;869;904;1297;1525;1833;1848;2655;2693;3046,NA,6018052,13.58,-17.38,-1.89,37.39,-16.79,10.29,132.7,240.01,1197.42,1541.12
Artiodactyla,Bovidae,Cephalophus,spadix,Cephalophus_spadix,1,56500,NA,1176.66,NA,NA,NA,3,NA,NA,1,65.04,NA,4,1,1,511;1525;1848;2655;2693;3046,NA,36583,-2.6,-9.48,-6.04,38.83,33.33,36.08,77.3,222.71,950.45,1534.15
Artiodactyla,Bovidae,Cephalophus,weynsi,Cephalophus_weynsi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,NA,NA,NA,NA,1525,NA,1692834,5.14,-6.81,-0.83,37.26,16.17,26.72,134.53,234.61,1411.19,1589.32
Artiodactyla,Bovidae,Cephalophus,zebra,Cephalophus_zebra,NA,15400,NA,875,NA,NA,NA,3,NA,223.89,1,146.04,NA,4,1,2,511;1297;1525;1848;2655;2693;3046,NA,171547,8.55,4.35,6.45,-5.5,-11.79,-8.64,214.55,247.86,1342.39,1540.94
Cetacea,Delphinidae,Cephalorhynchus,commersonii,Cephalorhynchus_commersonii,NA,72400,NA,NA,NA,NA,NA,1,NA,NA,1,216,1916.24,NA,NA,3,543;890;1297;2151;2655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cetacea,Delphinidae,Cephalorhynchus,eutropia,Cephalorhynchus_eutropia,NA,45000,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,3,511;1297;2151;2655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cetacea,Delphinidae,Cephalorhynchus,heavisidii,Cephalorhynchus_heavisidii,NA,40000,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1297;2151;2655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cetacea,Delphinidae,Cephalorhynchus,hectori,Cephalorhynchus_hectori,3,50000,NA,NA,2920,NA,NA,1,NA,NA,1,240,2415.07,NA,NA,3,232;899;1297;2151;2655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Perissodactyla,Rhinocerotidae,Ceratotherium,simum,Ceratotherium_simum,2,2260000,NA,2591.6,2463.75,NA,NA,1,902.99,534.86,1,600,2368.44,NA,1,1,543;674;730;899;997;1196;1297;1348;1573;1763;2202;2232;2283;2335;2354;2355;2582;2613;2629;2655;2777;2887;2908;3136,NA,3184467,9.74,-29.91,-10.08,39.53,12.96,26.25,60.61,216.38,729.59,1458.59
Diprotodontia,Burramyidae,Cercartetus,caudatus,Cercartetus_caudatus,1,23,NA,98.12,465,NA,NA,3,NA,NA,3,38.4,392.55,4,2,2,131;511;661;955;975;977;1297;1760;1991;2152;2644;2645;2655;2877;2969,NA,221312,-1.09,-18.08,-9.58,150.93,133.77,142.35,233.35,203.07,1518.15,1688.53
Rodentia,Muridae,Clethrionomys,centralis,Clethrionomys_centralis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1297,NA,153339,45.23,39.72,42.47,82.75,74.1,78.42,25.45,-24.31,288.95,747.88
Rodentia,Muridae,Clethrionomys,gapperi,Clethrionomys_gapperi,1,19.8,NA,101.32,NA,54.72,22.65,6,NA,18,NA,20,82.24,NA,NA,2,226;693;730;1020;1027;1029;1116;1297;1332;1444;1822;1831;1849;1931;1949;2000;2655;2714;2943;3094,NA,8361723,62.43,32.84,47.63,-55.61,-132.72,-94.16,49.93,12.35,415.04,522.57
Rodentia,Muridae,Clethrionomys,glareolus,Clethrionomys_glareolus,NA,20.7,NA,106.55,83.22,57.2,21.9,5,NA,19.74,2,58.8,35.79,NA,2,2,476;496;540;543;730;772;1064;1116;1250;1297;1538;1577;1822;1849;1911;1949;1998;2073;2338;2522;2523;2620;2655;2661;2662;2678;2805;2975;3127,NA,8269299,68.29,38.83,53.56,95.16,-10.47,42.34,49.95,38.21,398.06,438.62
Rodentia,Muridae,Clethrionomys,rufocanus,Clethrionomys_rufocanus,NA,36.4,NA,NA,110,59.4,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,1250;1297;1822;1949;2655,NA,14509286,73.18,34.72,53.95,179.99,-179.9,0.04,33.2,-65.04,299.01,335.13
Rodentia,Muridae,Clethrionomys,rutilus,Clethrionomys_rutilus,NA,19.9,NA,109.23,NA,62.87,21.5,4,NA,24.04,NA,NA,NA,NA,NA,2,412;730;1027;1297;1332;1362;1444;1822;1849;1949;2067;2655;2994;3012;3137,NA,20777287,73.8,37.67,55.73,179.83,-171.84,3.99,31.84,-66.17,278.59,319.17
Rodentia,Muridae,Clethrionomys,sikotanensis,Clethrionomys_sikotanensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91487,47.86,41.39,44.62,148.58,139.77,144.17,81.41,33.19,577.09,675.68
Rodentia,Heptaxodontidae,Clidomys,osborni,Clidomys_osborni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Heptaxodontidae,Clidomys,parvus,Clidomys_parvus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Rhinolophidae,Cloeotis,percivali,Cloeotis_percivali,NA,4.13,34.49,NA,NA,NA,NA,NA,NA,91.25,1,NA,NA,NA,2,NA,1297;1658;2151;2622;2655;2900,NA,1855266,-3.46,-27.85,-15.65,39.79,25.25,32.52,73.96,212.26,803.33,1440.52
Rodentia,Echimyidae,Clyomys,bishopi,Clyomys_bishopi,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2655,NA,180437,-20.09,-24.43,-22.26,-42.69,-48.1,-45.39,134.55,190.2,1192.08,1326.06
Rodentia,Echimyidae,Clyomys,laticeps,Clyomys_laticeps,NA,201,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,890;2655,NA,1089098,-10.27,-24.55,-17.41,-43.99,-58.02,-51,117.32,222.9,1174.43,1440.13
Rodentia,Muridae,Coccymys,albidens,Coccymys_albidens,NA,NA,NA,115.2,NA,NA,NA,NA,NA,NA,2,NA,NA,6,2,NA,977;2152,45.6,315,-3.94,-4.12,-4.03,138.84,138.66,138.75,177,153,1680,1680
Rodentia,Muridae,Coccymys,ruemmleri,Coccymys_ruemmleri,NA,29.7,NA,101.22,NA,NA,NA,2,NA,NA,2,NA,NA,6,2,1,661;977;2152;2655,NA,47734,-4.06,-7.59,-5.83,146.82,138.43,142.62,308.34,166.87,1669.57,1675.61
Chiroptera,Rhinolophidae,Coelops,frithi,Coelops_frithi,NA,7.46,41,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,3,679;1297;1658;2151;2622;2655,NA,4074335,31.29,-8.84,11.22,120.82,87.2,104.01,155.98,201.43,1147.81,1359.69
Chiroptera,Rhinolophidae,Coelops,hirsutus,Coelops_hirsutus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,2151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Rhinolophidae,Coelops,robinsoni,Coelops_robinsoni,NA,6.5,35,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,3,679;1658;2151;2622;2655,NA,136979,12.99,-2.99,4.99,125.23,99.59,112.41,253.05,227.43,1682.42,1693.05
Rodentia,Erethizontidae,Coendou,bicolor,Coendou_bicolor,1,4490,NA,NA,NA,NA,NA,4,NA,NA,1,NA,577.91,NA,2,1,730;905;2151;2655,NA,1180227,10.49,-17.19,-3.35,-64.29,-81.01,-72.65,179.88,235.53,1356.61,1488.17
Rodentia,Erethizontidae,Coendou,koopmani,Coendou_koopmani,NA,3000,NA,352.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1240;2655,NA,409217,-0.1,-5.37,-2.73,-47.64,-60.73,-54.18,168.73,255.57,1436.44,1626.42
Rodentia,Erethizontidae,Coendou,prehensilis,Coendou_prehensilis,1,4120,NA,470.28,NA,918.4,3280,5,NA,200.74,1,207.6,549.41,NA,2,1,543;730;905;1297;1573;1627;1822;2151;2431;2457;2655,NA,10034057,11.46,-28.32,-8.43,-34.79,-72.76,-53.78,144.37,241.56,1284.51,1545.44
Rodentia,Erethizontidae,Coendou,rothschildi,Coendou_rothschildi,1,2000,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,2,1,905;2655,NA,58669,9.63,7.19,8.41,-77.17,-82.74,-79.96,197.46,258.61,1548.21,1712.73
Chiroptera,Emballonuridae,Coleura,afra,Coleura_afra,1,10.6,48,NA,365,NA,NA,1,NA,NA,1,NA,NA,NA,2,3,196;889;1297;1384;1658;1676;2151;2622;2655;2719;3023,NA,5013413,21.09,-17.54,1.77,51.41,-13.83,18.78,77.86,239.85,881.64,1614
Chiroptera,Emballonuridae,Coleura,seychellensis,Coleura_seychellensis,1,10.6,54.33,60,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,3,889;899;1658;2136;2143;2151;2655,NA,151,-4.56,-4.8,-4.68,55.53,55.36,55.45,NA,NA,NA,NA
Primates,Cercopithecidae,Colobus,angolensis,Colobus_angolensis,3,8990,NA,565,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,208;1297;1347;1544;1547;1848;2344;2655;2660;2986,NA,3019802,4.38,-12.71,-4.16,40.13,13.25,26.69,122.91,233.28,1225.27,1538.48
Primates,Cercopithecidae,Colobus,guereza,Colobus_guereza,3,10000,NA,625,1916.25,3055,10625,2,NA,169.07,1,294,1672.91,NA,2,1,208;543;730;741;904;930;1297;1347;1544;1547;1763;1767;1822;1848;2344;2489;2493;2655;2660;2748;2986;3086,NA,3994317,14.41,-4.09,5.15,44.32,8.2,26.26,108.92,231.64,1126.47,1560.54
Primates,Cercopithecidae,Colobus,polykomos,Colobus_polykomos,3,8610,NA,629.97,3102.5,NA,NA,2,NA,172.81,NA,366,1874.43,NA,NA,1,208;543;730;741;1297;1347;1544;1547;1577;1767;1848;2344;2489;2493;2655;2660;2986,NA,1028699,13.78,4.35,9.06,4.07,-16.82,-6.37,145.99,262.44,1128.83,1567.96
Primates,Cercopithecidae,Colobus,satanas,Colobus_satanas,3,9150,NA,629.68,NA,NA,NA,3,NA,192.89,1,NA,NA,NA,2,1,208;730;741;899;1297;1544;1547;1848;2344;2655;2660;2748;2878;2986,NA,353215,5.15,-1.2,1.97,15.23,8.42,11.82,165.46,241.26,1329.54,1500.26
Rodentia,Muridae,Colomys,goslingi,Colomys_goslingi,NA,62.5,NA,125.34,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,543;1097;1297;2655,NA,4628856,9.07,-13.37,-2.14,36.75,-13.32,11.71,138.46,237.67,1269.13,1539.71
Insectivora,Talpidae,Condylura,cristata,Condylura_cristata,2,47.1,NA,115.65,NA,NA,NA,2,NA,39.99,3,36,269.32,8,1,3,176;595;749;1297;1338;2131;2266;2513;2655;2786,NA,3692909,56.05,30.15,43.1,-55.61,-100.03,-77.82,68.07,36.91,534.43,575.53
Carnivora,Mustelidae,Conepatus,chinga,Conepatus_chinga,1,1920,NA,421.04,NA,NA,NA,6,NA,NA,2,79.2,NA,6,1,2,543;890;1113;2655,NA,3247305,-8.25,-40.94,-24.6,-53.52,-78.74,-66.13,65.02,133.91,724.98,1146.36
Carnivora,Mustelidae,Conepatus,humboldtii,Conepatus_humboldtii,1,1100,NA,355.22,NA,NA,NA,1,NA,NA,2,NA,NA,6,1,3,890;1113;1573;2655;2986,NA,709173,-38.29,-53.66,-45.97,-63.57,-73.98,-68.78,30.56,80.76,324.55,585.9
Carnivora,Mustelidae,Conepatus,leuconotus,Conepatus_leuconotus,1,3450,NA,423.83,NA,NA,NA,1,NA,61.77,1,84,364.99,6,1,3,543;1113;1297;2655,NA,2509559,39.48,12.53,26,-85.11,-114.65,-99.88,56.58,180.72,693.09,1289.29
Carnivora,Mustelidae,Conepatus,mesoleucus,Conepatus_mesoleucus,1,2580,NA,NA,NA,NA,NA,1,NA,51.33,1,NA,269.93,6,1,3,1113;1297;2655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
