Order,Family,Genus,Species,genspec,ActivityCycle,Mass.g,Forearm.mm,BodyLen.mm,AgeatFirstBirth,BasalMetRate.mL02hr,BasalMetRateMass.g,DietBreadth,DispersalAge,GestationLen,HabitatBreadth,MaxLongevity.m,SexualMaturityAge.d,TeatNumber,Terrestriality,TrophicLevel,References,Mass.g.EXT,Area.km2,MaxLat.dd,MinLat.dd,MRLat.dd,MaxLong.dd,MinLong.dd,MRLong.dd,PrecipMean.mm,TempMean.C,AETMean.mm,PETMean.mm
Primates,Cebidae,Alouatta,palliata,Alouatta_palliata,3,6580,NA,577.23,1382.13,2027.4,4670,2,NA,185.48,1,300,1368.74,NA,2,1,208;543;702;730;890;905;1297;1544;1547;1577;1763;1767;1822;1848;2128;2151;2344;2489;2493;2655;2660;2986,NA,559555,18.71,-4.8,6.95,-76.77,-95.57,-86.17,185.26,237.38,1299.96,1633.87
Primates,Cebidae,Alouatta,pigra,Alouatta_pigra,3,7200,NA,567.8,NA,NA,NA,2,NA,185.98,1,240,NA,NA,2,1,543;702;730;905;1297;1544;1547;1848;2151;2344;2655;2660;2986,NA,91385,21.6,16,18.8,-86.73,-92.43,-89.58,134.13,250.78,1373.84,1580.84
Primates,Cebidae,Alouatta,sara,Alouatta_sara,3,6610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1544;2151;2655,NA,526742,-9.94,-19.49,-14.72,-57.79,-69.22,-63.5,109.48,244.89,1270.73,1488.29
Primates,Cebidae,Alouatta,seniculus,Alouatta_seniculus,3,6420,NA,561.25,1671.7,NA,NA,6,NA,189.96,1,300,1475.2,NA,2,2,208;451;543;702;730;890;905;1201;1297;1544;1547;1848;2128;2151;2308;2344;2431;2489;2493;2655;2660;2986,NA,4180384,12.2,-10.84,0.68,-49.88,-77.13,-63.5,174.51,250.34,1470.06,1620.88
Rodentia,Muridae,Alticola,albicauda,Alticola_albicauda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33358,36.23,33.7,34.96,78.3,74.93,76.62,8.19,-49.57,251.98,909.46
Rodentia,Muridae,Alticola,argentatus,Alticola_argentatus,NA,37.7,NA,107.79,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,2104;2655,NA,1225348,47.2,32.38,39.79,100.09,66.63,83.36,17.88,8.19,220.11,793.12
Rodentia,Muridae,Alticola,barakshin,Alticola_barakshin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,498939,52.15,44.81,48.48,99.03,87.02,93.02,19.89,-71.53,259.74,514.28
Rodentia,Muridae,Alticola,lemminus,Alticola_lemminus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3666349,73.8,51.22,62.51,179.75,-179.54,0.1,23.17,-130.4,212.17,247.55
Rodentia,Muridae,Alticola,macrotis,Alticola_macrotis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,770987,56.65,48.15,52.4,116.45,83.53,99.99,25.71,-64.88,338.02,451.82
Rodentia,Muridae,Alticola,montosa,Alticola_montosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70730,35.28,31.73,33.5,78.76,75.28,77.02,33.52,-16.48,558.61,991.07
Rodentia,Muridae,Alticola,roylei,Alticola_roylei,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1297;2655,NA,22396,32.35,30.18,31.26,80.09,77.51,78.8,102.8,52.7,854.48,1149.76
Rodentia,Muridae,Alticola,semicanus,Alticola_semicanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,741139,52.26,43.08,47.67,117.22,92.63,104.93,20.98,-42.69,311.73,473.05
Rodentia,Muridae,Alticola,stoliczkanus,Alticola_stoliczkanus,1,30.2,NA,108.71,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1297;1960;2655,NA,2247152,39.88,27.87,33.88,101.87,76.42,89.14,53.55,-56.93,368.48,799.47
