"","Order","Family","Genus","Species","genspec","ActivityCycle","Mass.g","Forearm.mm","BodyLen.mm","AgeatFirstBirth","BasalMetRate.mL02hr","BasalMetRateMass.g","DietBreadth","DispersalAge","GestationLen","HabitatBreadth","MaxLongevity.m","SexualMaturityAge.d","TeatNumber","Terrestriality","TrophicLevel","References","Mass.g.EXT","Area.km2","MaxLat.dd","MinLat.dd","MRLat.dd","MaxLong.dd","MinLong.dd","MRLong.dd","PrecipMean.mm","TempMean.C","AETMean.mm","PETMean.mm"
"20","Cetacea","Delphinidae","Pseudorca","crassidens","Pseudorca_crassidens",NA,1360000,NA,NA,NA,NA,NA,2,NA,462,1,264,3224.04,NA,NA,3,"172;543;1297;2151;2655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Cetacea","Delphinidae","Delphinus","delphis","Delphinus_delphis",NA,79300,NA,2439.99,NA,NA,NA,NA,NA,296.89,1,240,1277.49,NA,NA,NA,"56;93;511;543;1217;1297;1577;2151;2475;2655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Cetacea","Ziphiidae","Berardius","bairdii","Berardius_bairdii",NA,11400000,NA,NA,NA,NA,NA,2,NA,396.58,1,852,4379.99,NA,NA,3,"511;543;1015;1297;2151;2655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Cetacea","Delphinidae","Tursiops","truncatus","Tursiops_truncatus",NA,281000,NA,2392.99,1825,NA,NA,2,NA,364.99,1,552,3077.5,NA,NA,3,"5;6;56;146;150;171;172;218;290;382;385;389;538;543;552;712;890;1004;1217;1297;2151;2655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Cetacea","Balaenidae","Eubalaena","glacialis","Eubalaena_glacialis",NA,2.3e+07,NA,13932.85,3467.5,NA,NA,2,NA,345.96,1,NA,3287.46,NA,NA,3,"353;492;494;505;511;899;1004;1297;1580;1581;1634;1671;1672;1909;2655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Cetacea","Delphinidae","Grampus","griseus","Grampus_griseus",NA,387000,NA,NA,NA,NA,NA,1,NA,364.99,1,240,NA,NA,NA,3,"56;172;218;543;890;1297;2151;2409;2655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Cetacea","Ziphiidae","Mesoplodon","hectori","Mesoplodon_hectori",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"2151;2655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Cetacea","Neobalaenidae","Caperea","marginata","Caperea_marginata",NA,3.2e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1297;2655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Cetacea","Balaenidae","Balaena","mysticetus","Balaena_mysticetus",NA,79700000,NA,12209.7,NA,NA,NA,1,NA,379.9,1,480,5263.88,NA,NA,3,"96;543;555;899;1004;1015;1297;2655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Cetacea","Delphinidae","Steno","bredanensis","Steno_bredanensis",NA,130000,NA,2439.99,NA,NA,NA,NA,NA,NA,1,384,NA,NA,NA,NA,"172;543;1217;2151;2655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Cetacea","Ziphiidae","Indopacetus","pacificus","Indopacetus_pacificus",NA,2200000,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"2151;2655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
