"","x"
"otu362762","Delphinus delphis 3"
"otu362763","Stenella coeruleoalba AJ233805"
"otu362764","Delphinus delphis 15"
"otu362765","Phocoena phocoena 6"
"otu362766","Pseudorca crassidens 9"
"otu362767","Steno bredanensis 10"
"otu362768","Delphinus delphis 2"
"otu362769","Steno bredanensis 14"
"otu362770","Eubalaena japonica 3"
"otu362771","Stenella coeruleoalba 2"
"otu362772","Steno bredanensis 11"
"otu362773","Pseudorca crassidens 6"
"otu362774","Phocoena phocoena 5"
"otu362775","Stenella coeruleoalba AJ233793"
"otu362776","Eubalaena japonica 5"
"otu362777","Stenella coeruleoalba AJ233791"
"otu362778","Physeter macrocephalus 7"
"otu362779","Orcinus orca 10"
"otu362780","Stenella coeruleoalba 16"
"otu362781","Steno bredanensis 12"
"otu362782","Delphinus delphis 11"
"otu362783","Orcinus orca 7"
"otu362784","Orcinus orca 5"
"otu362785","Stenella coeruleoalba 8"
"otu362786","Stenella coeruleoalba 4"
"otu362787","Pseudorca crassidens 4"
"otu362788","Steno bredanensis 9"
"otu362789","Stenella coeruleoalba 9"
"otu362790","Pseudorca crassidens 10"
"otu362791","Stenella coeruleoalba 15"
"otu362792","Stenella coeruleoalba 10"
"otu362793","Eubalaena japonica 4"
"otu362794","Stenella coeruleoalba AJ233799"
"otu362795","Phocoena phocoena 1"
"otu362796","Phocoena phocoena 7"
"otu362797","Stenella coeruleoalba AJ233803"
"otu362798","Phocoena phocoena 3"
"otu362799","Steno bredanensis 16"
"otu362800","Steno bredanensis 1"
"otu362801","Delphinus delphis 9"
"otu362802","Physeter macrocephalus 3"
"otu362803","Phocoena phocoena 2"
"otu362804","Physeter macrocephalus 5b"
"otu362805","Bos taurus XM580626"
"otu362806","Bos taurus XM585637"
"otu362807","Bos taurus XM591516"
"otu362808","Bos taurus XM610508"
"otu362809","Bos taurus XM610853"
"otu362810","Bos taurus XM587200"
"otu362811","Bos taurus XM591514"
"otu362812","Bos taurus XM582619"
"otu362813","Bos taurus XM609075"
"otu362814","Bos taurus XM590174"
"otu362815","Bos taurus XM606321"
"otu362816","Bos taurus XM583566"
"otu362817","Bos taurus XM586189"
"otu362818","Bos taurus XM591641"
"otu362819","Bos taurus XM592396"
"otu362820","Bos taurus XM592982"
"otu362821","Bos taurus XM584213"
"otu362822","Bos taurus XM580850"
"otu362823","Physeter macrocephalus"
"otu362824","Bos taurus"
"otu362825","Orcinus orca"
"otu362826","Pseudorca crassidens"
"otu362827","Stenella coeruleoalba"
"otu362828","Phocoena phocoena"
"otu362829","Delphinus delphis"
"otu362830","Steno bredanensis"
"otu362831","Eubalaena japonica"
"otu367214","Macropus rufus"
"otu367215","Dromiciops australis"
"otu367216","Caenolestes fuliginosus"
"otu367217","Didelphis marsupialis"
"otu367218","Tenrec ecaudatus"
"otu367219","Amblysomus hottentotus"
"otu367220","Macroscelides proboscideus"
"otu367221","Elephantulus rufescens"
"otu367222","Orycteropus afer"
"otu367223","Trichechus manatus"
"otu367224","Procavia capensis"
"otu367225","Elephas maximus"
"otu367226","Bradypus tridactylus"
"otu367227","Tamandua tetradactyla"
"otu367228","Myrmecophaga tridactyla"
"otu367229","Euphractus sexcinctus"
"otu367230","Chaetophractus villosus"
"otu367231","Erinaceus europaeus"
"otu367232","Sorex cinereus"
"otu367233","Talpa europaea"
"otu367234","Tonatia bidens"
"otu367235","Nycteris grandis"
"otu367236","Tadarida brasiliensis"
"otu367237","Antrozous pallidus"
"otu367238","Pteropus rayneri"
"otu367239","Rousettus amplexicaudatus"
"otu367240","Megaderma lyra"
"otu367241","Felis catus"
"otu367242","Phoca vitulina"
"otu367243","Manis tetradactyla"
"otu367244","Equus caballus"
"otu367245","Diceros bicornis"
"otu367246","Tapirus terrestris"
"otu367247","Balaenoptera physalus"
"otu367248","Lagenorhynchus albirostris"
"otu367249","Hippopotamus amphibius"
"otu367250","Sus scrofa"
"otu367251","Lama pacos"
"otu367252","Sciurus vulgaris"
"otu367253","Glis glis"
"otu367254","Mus musculus"
"otu367255","Rattus norvegicus"
"otu367256","Castor canadensis"
"otu367257","Dipodomys merriami"
"otu367258","Pedetes capensis"
"otu367259","Cavia porcellus"
"otu367260","Hydrochoerus hydrochaeris"
"otu367261","Erethizon dorsatum"
"otu367262","Trichys fasciculata"
"otu367263","Oryctolagus cuniculus"
"otu367264","Ochotona princeps"
"otu367265","Cynocephalus variegatus"
"otu367266","Tupaia tana"
"otu367267","Nycticebus coucang"
"otu367268","Tarsius syrichta"
"otu367269","Homo sapiens"
