"","x"
"otu362678","Stenella coeruleoalba AJ233804"
"otu362679","Eubalaena japonica 9"
"otu362680","Phocoena phocoena 10b"
"otu362681","Eubalaena japonica 1"
"otu362682","Physeter macrocephalus 2b"
"otu362683","Delphinus delphis 16"
"otu362684","Orcinus orca 6"
"otu362685","Orcinus orca 1a"
"otu362686","Stenella coeruleoalba 6b"
"otu362687","Eubalaena japonica 6"
"otu362688","Orcinus orca 8"
"otu362689","Orcinus orca 12"
"otu362690","Pseudorca crassidens 3"
"otu362691","Orcinus orca 2"
"otu362692","Steno bredanensis 7"
"otu362693","Stenella coeruleoalba 11"
"otu362694","Steno bredanensis 13"
"otu362695","Delphinus delphis 7"
"otu362696","Phocoena phocoena 4"
"otu362697","Orcinus orca 1b"
"otu362698","Orcinus orca 11"
"otu362699","Physeter macrocephalus 6"
"otu362700","Phocoena phocoena 9"
"otu362701","Stenella coeruleoalba AJ233800"
"otu362702","Stenella coeruleoalba 3"
"otu362703","Eubalaena japonica 7"
"otu362704","Delphinus delphis 1"
"otu362705","Eubalaena japonica 10"
"otu362706","Stenella coeruleoalba AJ233792"
"otu362707","Phocoena phocoena 11"
"otu362708","Phocoena phocoena 10a"
"otu362709","Physeter macrocephalus 1"
"otu362710","Stenella coeruleoalba 1a"
"otu362711","Delphinus delphis 4"
"otu362712","Physeter macrocephalus 2a"
"otu362713","Pseudorca crassidens 1"
"otu362714","Eubalaena japonica 12"
"otu362715","Pseudorca crassidens 5"
"otu362716","Delphinus delphis 14"
"otu362717","Physeter macrocephalus 2c"
"otu362718","Stenella coeruleoalba 1b"
"otu362719","Physeter macrocephalus 5a"
"otu362720","Steno bredanensis 8"
"otu362721","Steno bredanensis 4"
"otu362722","Pseudorca crassidens 7"
"otu362723","Steno bredanensis 6"
"otu362724","Delphinus delphis 10"
"otu362725","Delphinus delphis 6"
"otu362726","Physeter macrocephalus 9"
"otu362727","Stenella coeruleoalba 6a"
"otu362728","Eubalaena japonica 2b"
"otu362729","Pseudorca crassidens 8"
"otu362730","Steno bredanensis 5"
"otu362731","Phocoena phocoena 8"
"otu362732","Steno bredanensis 18"
"otu362733","Eubalaena japonica 11"
"otu362734","Steno bredanensis 15"
"otu362735","Eubalaena japonica 8"
"otu362736","Delphinus delphis 13"
"otu362737","Stenella coeruleoalba 13"
"otu362738","Steno bredanensis 3"
"otu362739","Steno bredanensis 17"
"otu362740","Orcinus orca 9"
"otu362741","Pseudorca crassidens 11"
"otu362742","Stenella coeruleoalba 7"
"otu362743","Eubalaena japonica 2a"
"otu362744","Stenella coeruleoalba 12"
"otu362745","Eubalaena japonica 13"
"otu362746","Stenella coeruleoalba 17"
"otu362747","Orcinus orca 4"
"otu362748","Stenella coeruleoalba AJ233802"
"otu362749","Steno bredanensis 2"
"otu362750","Delphinus delphis 5"
"otu362751","Physeter macrocephalus 8"
"otu362752","Stenella coeruleoalba 14"
"otu362753","Stenella coeruleoalba AJ233789"
"otu362754","Physeter macrocephalus 4"
"otu362755","Pseudorca crassidens 2"
"otu362756","Stenella coeruleoalba 5"
"otu362757","Delphinus delphis 12"
"otu362758","Stenella coeruleoalba AJ233801"
"otu362759","Delphinus delphis 8"
"otu362760","Stenella coeruleoalba AJ233790"
"otu362761","Orcinus orca 3"
